"geoid","pop","jobs","lat","lon"
"481130088011","836","34","32.719995","-96.784663"
"481210215401","3608","513","33.127841","-96.876374"
"482570507042","2142","63","32.622123","-96.128293"
"481130022001","883","13646","32.787035","-96.78166"
"480850305101","1736","66","33.134925","-96.782153"
"481210217462","2024","1501","33.058385","-97.084637"
"481130185062","1488","245","32.904245","-96.710875"
"481130123012","1415","57","32.817228","-96.676688"
"484391050085","1978","2829","32.852517","-97.327154"
"481130136212","1353","9","32.959511","-96.807627"
"483970402011","1832","150","32.956785","-96.435238"
"481130127012","1778","20","32.846586","-96.669389"
"481130181261","1997","92","32.862792","-96.636871"
"481130136152","1322","4765","32.933639","-96.808306"
"481130060011","897","204","32.702916","-96.838035"
"481210206013","901","1575","33.221251","-97.127873"
"481130181533","2538","38","32.966111","-96.590589"
"481130126013","2132","252","32.854285","-96.653525"
"484391015003","2253","193","32.740269","-97.276636"
"482511304152","1493","955","32.40424","-97.214513"
"481130078291","1234","1422","32.918174","-96.757445"
"481130169032","2747","517","32.596639","-96.689835"
"481130093013","1870","74","32.730798","-96.700584"
"482570506012","2550","391","32.787807","-96.313581"
"481390602092","3369","555","32.471679","-96.866806"
"484391115521","899","234","32.695503","-97.130477"
"484391135171","1910","26","32.860359","-97.077826"
"481210216162","1058","43","33.006202","-96.868375"
"482511309001","1785","99","32.352974","-97.372034"
"484391112033","3375","3280","32.592194","-97.305362"
"480850319021","1793","4720","33.023785","-96.704587"
"484391137092","2757","4214","32.892765","-97.089712"
"484391138031","1284","364","32.88408","-97.251013"
"481130025003","1300","286","32.786862","-96.750119"
"484391059022","1673","21","32.6824","-97.311914"
"484391115256","1791","6539","32.687141","-97.126311"
"484391139471","2375","457","32.906328","-97.281811"
"480850316254","1352","20","33.029956","-96.757477"
"481210203132","1752","252","33.096661","-97.319856"
"481210205056","1237","20","33.241127","-97.102457"
"484391140101","2078","27","32.846072","-97.405188"
"480850317181","724","81","32.99256","-96.782415"
"484391139562","3479","2534","32.963513","-97.136636"
"481130181541","2340","378","32.977388","-96.584965"
"481210217451","1671","517","33.033087","-97.000484"
"483671403003","2395","107","32.763994","-97.813272"
"481210202032","1897","133","33.347768","-97.173155"
"484391055173","1093","44","32.651028","-97.412369"
"481130169021","3814","1626","32.642927","-96.716454"
"481130121021","1744","27","32.766026","-96.661211"
"480850305501","916","147","33.161974","-96.675524"
"481130190293","2981","186","32.948425","-96.657026"
"481130141261","2338","445","32.965089","-97.000032"
"484391035004","1162","227","32.730437","-97.266068"
"481130165273","1550","36","32.638247","-96.960841"
"484391052041","1092","531","32.728637","-97.477038"
"482511302101","3051","338","32.448963","-97.372105"
"484391046021","2031","22","32.703505","-97.273638"
"484391134101","1754","1740","32.815239","-97.210306"
"481390602124","0","2498","32.437668","-96.846598"
"482511304161","1671","284","32.455085","-97.219547"
"482511305011","2177","423","32.284571","-97.162023"
"481210215162","2214","165","33.10208","-96.897037"
"484391103012","1193","694","32.796321","-97.260186"
"481130165173","1797","278","32.634591","-96.904897"
"481130161004","1276","228","32.714641","-97.019996"
"483671404132","1105","48","32.957802","-97.561942"
"484391115164","1661","270","32.657272","-97.122406"
"484391142033","2002","88","32.975602","-97.527018"
"484391115512","2583","678","32.603598","-97.138353"
"481210216151","1556","15","33.002642","-96.875793"
"484391112031","2267","168","32.585638","-97.278507"
"481130172042","2308","192","32.712137","-96.610778"
"481130143061","1552","78","32.845101","-96.979814"
"481130165222","1289","55","32.601629","-96.974143"
"480850316241","693","4443","33.02366","-96.765849"
"480850305411","1758","822","33.154263","-96.685566"
"481130079061","1018","60","32.86183","-96.779541"
"481130143183","1360","386","32.854135","-96.96278"
"484391059011","1796","623","32.680922","-97.327073"
"484391022021","1028","356","32.737388","-97.404525"
