"station_id","name","mode","src","year_opens","term","act1k","fwy_m","feasibility","lat","lon"
"X407","Arcadia Park","metro","extra","2065","0","4607","209","park-ride?","32.743796","-96.921395"
"X375","Mill Creek Estates W","brt","extra","2070","0","4610","477","park-ride?","32.589654","-96.827612"
"S028","Clearfork","metro","fw","2040","0","4615","479","park-ride?","32.708797","-97.395995"
"X043","Texas Health Care Rheumatology E","commuter","extra","2040","0","4685","133","park-ride?","32.676119","-97.380408"
"X576","Mesquite","commuter","extra","2045","0","4752","365","park-ride?","32.773429","-96.627763"
"X274","Mesquite NW","metro","extra","2055","0","4767","565","park-ride?","32.776008","-96.618041"
"X282","Dalworthington Gardens","metro","extra","2070","0","4800","373","park-ride?","32.677733","-97.152429"
"X070","Fort Worth","commuter","extra","2050","0","4869","181","park-ride?","32.786577","-97.322962"
"X540","Burleson","commuter","extra","2040","0","4899","359","park-ride?","32.56312","-97.322804"
"S014","S Main","metro","fw","2040","0","4927","332","park-ride?","32.741798","-97.325896"
"S012","T&P Station","metro","fw","2040","0","4927","91","park-ride?","32.745606","-97.327894"
"X345","Addison","brt","extra","2065","0","12557","334","strong","32.95399","-96.818478"
"X275","Mesquite NE","metro","extra","2050","1","12592","2403","strong","32.766698","-96.59933"
"X295","Duncanville SW","metro","extra","2070","0","12655","1627","strong","32.650277","-96.90936"
"S023","John Peter Smith","metro","fw","2055","0","12763","554","strong","32.728231","-97.326441"
"X053","Fort Worth","commuter","extra","2060","0","12763","388","strong","32.726005","-97.324769"
"X518","Swiss Avenue Historic District","brt","extra","2040","0","12839","1821","strong","32.805587","-96.76883"
"X199","Addison W2","metro","extra","2040","0","13131","2888","strong","32.963616","-96.853478"
"X218","Dr pepper ballpark","metro","extra","2045","0","13148","424","strong","33.099252","-96.818468"
"X254","Irving E","metro","extra","2050","0","13199","247","strong","32.833485","-96.90292"
"X414","Trinity Groves","metro","extra","2060","0","13354","592","strong","32.778593","-96.831922"
"S032","Ridgmar","metro","fw","2040","0","13502","247","strong","32.736983","-97.424745"
"S034","Six Points","metro","fw","2050","0","13817","615","strong","32.773138","-97.306198"
"X252","Irving N","metro","extra","2050","0","13833","1147","strong","32.851703","-96.943125"
"X558","Fort Worth Stockyards National Historic District NE3","commuter","extra","2055","0","13991","834","strong","32.8148","-97.323206"
"S019","Museum Way","metro","fw","2040","1","14037","1489","strong","32.747239","-97.364621"
"X215","Haven Behavioral Hospital Of Frisco","metro","extra","2045","0","14172","498","strong","33.150534","-96.834581"
"X501","Frisco","metro","extra","2050","1","14172","1489","strong","33.150543","-96.82393"
"X566","Frisco","commuter","extra","2050","0","14172","1013","strong","33.151512","-96.828998"
"X041","Sundance Square SW","commuter","extra","2035","0","14260","1155","strong","32.726976","-97.347332"
"X397","UTA E","metro","extra","2060","0","14334","3004","strong","32.732415","-97.107201"
"X432","Parks Mall","metro","extra","2065","0","14461","668","strong","32.681665","-97.133393"
"X223","Baylor Scott & White The Heart Hospital - Plano","metro","extra","2045","0","14729","419","strong","33.007264","-96.824618"
"X365","North Westchester Meadows NE2","brt","extra","2065","0","14879","2955","strong","32.700689","-96.993883"
"X562","Carrollton NW2","commuter","extra","2050","0","15174","597","strong","32.957299","-96.906069"
"X530","Bishop Arts District","brt","extra","2045","0","15276","387","strong","32.743228","-96.824896"
"X197","Hebron","metro","extra","2040","1","15362","971","strong","32.996906","-96.847392"
"X396","UTA W","metro","extra","2060","0","15687","3301","strong","32.729918","-97.126886"
"X547","Fort Worth Stockyards National Historic District NE4","commuter","extra","2070","0","15735","1550","strong","32.822461","-97.329386"
"X398","Downtown Arlington","metro","extra","2060","0","16051","2293","strong","32.738854","-97.106215"
"S048","TCU","metro","fw","2035","0","16175","2314","strong","32.7096","-97.3604"
"X437","Kindred Hospital Tarrant County","metro","extra","2065","0","16190","1408","strong","32.772668","-97.097112"
"X340","Richardson","brt","extra","2065","0","16258","2544","strong","32.945317","-96.708159"
"X489","TCU E","brt","extra","2060","0","16556","2884","strong","32.706084","-97.353596"
"X557","Melody Hills","commuter","extra","2055","0","17110","642","strong","32.823646","-97.305714"
"X198","Addison","metro","extra","2040","0","17114","1148","strong","32.982482","-96.855162"
"X207","Oak Lawn","metro","extra","2040","0","17344","402","strong","32.824236","-96.820054"
"X202","Forest and Marsh","metro","extra","2040","1","17522","841","strong","32.909175","-96.856885"
"X506","Eating Recovery Center Dallas / Plano","metro","extra","2050","0","17551","1100","strong","33.070527","-96.812679"
"X344","Addison Double East","brt","extra","2065","0","17627","3096","strong","32.953903","-96.803665"
"X415","Design District","metro","extra","2060","0","17646","554","strong","32.788387","-96.819155"
"X418","Old East Dallas","metro","extra","2060","0","18018","1531","strong","32.806144","-96.776314"
"X250","Las Colinas SW","metro","extra","2050","0","18033","1238","strong","32.866387","-96.984747"
"X249","Great Restaurants","metro","extra","2050","1","18045","1533","strong","32.85517","-96.992241"
"X341","Richardson NW","brt","extra","2065","0","18334","319","strong","32.949068","-96.731669"
"S031","Arlington Heights","metro","fw","2040","0","18564","472","strong","32.73119","-97.387792"
"X433","South Arlington","metro","extra","2065","0","19470","3363","strong","32.707293","-97.130514"
"X232","A famous place","metro","extra","2045","0","20372","500","strong","32.863568","-96.806612"
"X205","Love Field","metro","extra","2040","0","20378","3650","strong","32.844635","-96.848453"
"X458","Great Southwest N","metro","extra","2065","0","21311","728","strong","32.752921","-97.045652"
"X401","Great Southwest N","metro","extra","2060","0","21311","964","strong","32.750837","-97.047877"
"X400","Six Flags","metro","extra","2060","0","21502","303","strong","32.757252","-97.070628"
"X523","Medical City Dallas","brt","extra","2045","0","21709","412","strong","32.909538","-96.7734"
"X526","Richardson SE","brt","extra","2045","0","21775","787","strong","32.909436","-96.717748"
"X525","Richland College","brt","extra","2045","0","21781","172","strong","32.909231","-96.734794"
"X457","Carrier South","metro","extra","2065","0","22037","1233","strong","32.777193","-97.048088"
"X303","Bishop Arts District W","metro","extra","2070","0","23177","1578","strong","32.751651","-96.835364"
"X220","Eating Recovery Center Dallas / Plano W","metro","extra","2045","0","23676","385","strong","33.067785","-96.820826"
"X357","Las Colinas SW2","brt","extra","2065","0","23757","704","strong","32.866355","-96.991601"
"S008","Trinity Bluff","metro","fw","2050","0","23827","427","strong","32.761839","-97.328527"
"X505","Eating Recovery Center Dallas / Plano NW2","metro","extra","2050","0","24036","58","strong","33.087719","-96.822523"
"X514","Hi Line","brt","extra","2040","0","24531","40","strong","32.802581","-96.816117"
"X031","Magnolia W","brt","extra","2055","1","25248","1014","strong","32.73301","-97.339404"
"S020","Medical City - Baylor","metro","fw","2035","0","25601","1029","strong","32.729784","-97.34569"
"X226","Addison E","metro","extra","2045","0","27350","414","strong","32.954124","-96.826527"
"S021","Magnolia W","metro","fw","2035","0","29218","1240","strong","32.730686","-97.339424"
"X402","Grand Prairie","metro","extra","2060","0","29785","85","strong","32.753586","-97.030047"
"X208","Turtel Creek","metro","extra","2040","0","32298","721","strong","32.810308","-96.810316"
