tract,lat,lon,pop,jobs
48439121905,32.709904,-97.0743,5403,746
48113019036,32.976492,-96.693204,2847,1053
48113019208,32.931218,-96.764824,5932,4162
48113002100,32.783409,-96.80126,2720,39235
48113002703,32.772683,-96.745058,5519,1192
48439111530,32.666869,-97.151551,6188,2222
48113017006,32.634873,-96.559346,5698,2680
48251130406,32.499167,-97.255897,6095,471
48121021611,32.994477,-96.899766,4424,794
48121021632,33.016266,-96.85984,3548,6063
48439113933,32.922876,-97.309619,2722,2347
48439113117,32.772452,-97.101145,2441,137
48121021540,33.130373,-96.881169,7330,937
48257050300,32.74747,-96.298386,4259,1869
48113017818,32.799941,-96.61747,3661,618
48439102500,32.721678,-97.405952,4287,551
48121021100,33.209735,-97.13724,3468,2590
48085031319,33.012233,-96.552912,4707,3210
48113011004,32.685088,-96.854297,2473,160
48113017101,32.693197,-96.596296,5987,618
48113004400,32.75964,-96.84463,3272,290
48113016615,32.576118,-96.933267,4218,185
48113016634,32.632894,-96.837833,3537,11392
48257050212,32.699046,-96.400604,5166,500
48113018130,32.839523,-96.627457,4532,1879
48085030307,33.294062,-96.747269,12663,1671
48139061200,32.241684,-96.727167,2173,370
48257050210,32.789961,-96.437551,2246,270
48113018133,32.898449,-96.571241,3916,3521
48113016534,32.685673,-96.900349,3588,3158
48085031323,32.994061,-96.534241,5369,2646
48121021739,33.019536,-96.989131,3596,855
48113017307,32.754085,-96.55739,4383,145
48113005300,32.734148,-96.860788,6579,195
48085030303,33.232881,-96.778594,10198,2946
48085030521,33.181177,-96.776154,5252,194
48121021652,33.039774,-96.911647,4283,379
48439114204,32.897362,-97.529858,7228,1237
48085031719,32.993925,-96.774788,1717,220
48439113709,32.88887,-97.089422,5527,4616
48113016531,32.640076,-96.914499,3425,404
48439121609,32.685099,-97.213945,6092,272
48085031413,33.121461,-96.638163,6839,703
48121020506,33.252875,-97.080069,1964,1304
48121020130,33.184346,-96.960953,2265,1243
48113011105,32.652358,-96.826986,4726,131
48113017819,32.816528,-96.633411,2551,1834
48113018152,32.939478,-96.614866,6203,3058
